"","AccidentArea","Sex","MaritalStatus","Age","Fault","VehicleCategory","FraudFound_P","Deductible","AgentType","AddressChange_Claim","BasePolicy"
"3635","Urban","Female","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6259","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"11347","Rural","Male","Married",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1591.1","Urban","Male","Married",45,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7915","Urban","Male","Married",61,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3496","Urban","Male","Married",49,"Third Party","Sedan","0",400,"External","no change","Collision"
"3873","Rural","Male","Married",49,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5098","Urban","Male","Married",73,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4738","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3529.1","Rural","Female","Single",41,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"6222","Urban","Male","Single",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11694","Urban","Male","Married",27,"Third Party","Sedan","0",400,"External","no change","Collision"
"14775","Urban","Male","Married",44,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13374","Urban","Male","Married",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13791","Urban","Male","Single",42,"Third Party","Sedan","0",400,"External","no change","Collision"
"7670","Urban","Male","Single",24,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9531","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3606","Urban","Male","Married",48,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"7652","Urban","Male","Single",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6839","Urban","Male","Single",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14497","Urban","Male","Married",55,"Third Party","Sedan","0",400,"External","no change","Collision"
"4676","Urban","Male","Married",33,"Third Party","Sedan","0",400,"External","no change","All Perils"
"9805","Urban","Male","Married",29,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"4879.1","Urban","Female","Married",57,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11716","Urban","Female","Married",40,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13175","Urban","Male","Married",58,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4472","Urban","Male","Married",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1057","Urban","Female","Single",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"719","Urban","Male","Married",45,"Third Party","Sport","0",400,"External","no change","Liability"
"11240","Urban","Male","Married",22,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4713","Urban","Male","Single",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9990","Urban","Male","Married",57,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"933","Urban","Male","Married",36,"Third Party","Sedan","0",400,"External","no change","All Perils"
"890","Urban","Male","Married",53,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2764","Rural","Male","Married",63,"Third Party","Sedan","0",400,"External","no change","All Perils"
"1421","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1669","Urban","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14091","Urban","Female","Married",74,"Policy Holder","Sedan","0",400,"Internal","no change","Collision"
"10858","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"9403","Urban","Male","Married",48,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3609","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12666","Urban","Male","Married",62,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"694","Urban","Male","Married",64,"Third Party","Sedan","0",400,"External","4 to 8 years","All Perils"
"2489","Urban","Female","Married",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9944","Urban","Male","Married",32,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13006","Urban","Male","Married",50,"Third Party","Sedan","0",500,"External","2 to 3 years","Collision"
"10853","Urban","Male","Married",49,"Policy Holder","Sport","0",400,"Internal","no change","Liability"
"4712","Urban","Male","Single",25,"Policy Holder","Sedan","0",400,"Internal","no change","Collision"
"15327","Urban","Male","Married",54,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13748.1","Urban","Female","Married",45,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14173","Urban","Male","Married",75,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6117","Urban","Female","Married",39,"Policy Holder","Sport","0",400,"Internal","no change","Liability"
"2787","Urban","Male","Married",44,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5715","Urban","Male","Married",50,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1921.1","Urban","Male","Married",54,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3179","Urban","Male","Married",31,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13381","Rural","Male","Married",68,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11256.1","Urban","Male","Married",58,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3223","Rural","Male","Married",46,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11230","Rural","Male","Married",66,"Third Party","Sedan","0",400,"External","no change","All Perils"
"2300","Urban","Male","Single",16,"Third Party","Sport","0",400,"External","no change","Collision"
"4171","Urban","Female","Married",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5810","Urban","Male","Married",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6579","Urban","Male","Married",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"444","Urban","Male","Single",29,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13271","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4161","Urban","Male","Married",31,"Third Party","Sport","0",400,"External","no change","Liability"
"6565","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14471","Urban","Female","Married",32,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"311","Urban","Male","Married",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12770.1","Urban","Male","Married",28,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3491","Urban","Male","Single",27,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1492","Urban","Male","Married",54,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"4174","Urban","Female","Married",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"111","Urban","Male","Single",23,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11932","Urban","Male","Married",60,"Third Party","Sedan","0",400,"External","no change","All Perils"
"5048","Urban","Male","Married",42,"Third Party","Sedan","0",400,"External","no change","Collision"
"1818","Urban","Male","Married",60,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"998","Urban","Male","Single",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2069","Rural","Male","Married",49,"Third Party","Sedan","0",400,"External","no change","Collision"
"11774","Rural","Male","Single",35,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13200","Urban","Male","Married",44,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2976","Urban","Male","Married",53,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"105","Urban","Male","Single",31,"Third Party","Sedan","0",400,"External","no change","All Perils"
"7999","Urban","Female","Single",31,"Policy Holder","Sport","0",700,"External","no change","Liability"
"2977","Urban","Male","Single",31,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6672","Urban","Female","Single",37,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5411","Urban","Male","Married",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7552","Urban","Male","Married",74,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14681","Urban","Male","Married",34,"Third Party","Sedan","0",400,"External","no change","Collision"
"601","Rural","Male","Married",26,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3377","Urban","Male","Married",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1910","Urban","Male","Married",45,"Third Party","Sedan","0",400,"External","no change","All Perils"
"1946","Urban","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"8332","Rural","Male","Married",27,"Third Party","Sedan","0",400,"External","no change","All Perils"
"2631","Urban","Male","Single",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13950","Urban","Male","Married",52,"Third Party","Sedan","0",400,"External","no change","Collision"
"11746","Urban","Female","Single",29,"Third Party","Sedan","0",400,"External","no change","Collision"
"149","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4951","Urban","Male","Single",24,"Policy Holder","Sport","0",400,"Internal","no change","Liability"
"5766","Urban","Male","Married",78,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13909","Urban","Male","Divorced",53,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7391","Urban","Male","Married",80,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7936","Rural","Male","Married",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8643","Urban","Male","Single",54,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3395","Urban","Female","Single",27,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12160","Urban","Male","Single",28,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"8007","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14699","Urban","Male","Married",49,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11010","Rural","Male","Married",59,"Third Party","Sport","0",400,"External","no change","Liability"
"6838","Urban","Male","Married",45,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8949","Rural","Male","Married",36,"Policy Holder","Sport","0",400,"Internal","no change","Liability"
"13623","Urban","Male","Married",41,"Third Party","Sport","0",400,"External","no change","Liability"
"1142.1","Urban","Male","Single",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2438","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2659","Urban","Male","Married",27,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6947","Urban","Male","Married",40,"Third Party","Sedan","0",400,"External","no change","All Perils"
"9177","Urban","Male","Married",66,"Policy Holder","Sedan","0",700,"External","no change","All Perils"
"12852","Urban","Male","Single",32,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8656","Rural","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13220","Urban","Male","Widow",64,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1972","Rural","Male","Single",33,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"5106","Urban","Male","Single",46,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14719","Urban","Male","Married",53,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"10458","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3060","Urban","Male","Married",55,"Policy Holder","Sport","0",400,"External","no change","Liability"
"28","Urban","Male","Married",42,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"10646","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5140","Urban","Male","Married",23,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"286","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"8620","Urban","Male","Married",46,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"6101","Urban","Male","Single",27,"Third Party","Sedan","0",400,"External","no change","Collision"
"88","Urban","Male","Single",39,"Third Party","Sedan","0",400,"External","no change","All Perils"
"2581","Urban","Male","Married",39,"Third Party","Sedan","0",400,"External","no change","Collision"
"11821","Urban","Male","Married",42,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13867","Urban","Male","Married",39,"Third Party","Sedan","0",400,"External","no change","All Perils"
"11731","Urban","Male","Married",58,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"4197","Urban","Male","Married",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6190","Urban","Male","Married",51,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12512","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11420","Urban","Male","Married",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7296","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5526","Urban","Male","Single",40,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11500","Urban","Male","Married",47,"Third Party","Sedan","0",400,"External","no change","All Perils"
"9993","Urban","Male","Married",31,"Third Party","Sport","0",400,"External","no change","Collision"
"9888","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11907","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5293","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"7163","Urban","Male","Married",54,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8984","Urban","Male","Married",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11232","Urban","Male","Married",59,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"5251","Rural","Male","Single",0,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"5031","Urban","Male","Married",34,"Third Party","Sport","0",400,"External","no change","Liability"
"5004","Urban","Male","Married",45,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8503","Urban","Female","Single",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6862","Urban","Male","Married",49,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14148","Urban","Male","Married",44,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8877","Urban","Female","Single",19,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"694.1","Urban","Male","Married",64,"Third Party","Sedan","0",400,"External","4 to 8 years","All Perils"
"12252.1","Urban","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14259","Urban","Female","Married",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5359","Urban","Male","Married",48,"Third Party","Sedan","0",400,"External","no change","Collision"
"6562","Urban","Female","Widow",37,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3575","Urban","Male","Single",55,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2227","Urban","Female","Married",54,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"13681","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5350","Rural","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10457","Urban","Male","Single",34,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11485","Urban","Male","Married",27,"Third Party","Sedan","0",400,"Internal","no change","Collision"
"13862.1","Urban","Male","Single",35,"Third Party","Sedan","0",400,"External","no change","All Perils"
"2711","Rural","Female","Single",27,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8081.1","Urban","Male","Single",18,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8119","Urban","Female","Single",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6297","Urban","Male","Married",64,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"10194","Urban","Male","Married",42,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"214.1","Urban","Male","Married",37,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11681","Urban","Male","Single",26,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5550","Urban","Male","Married",44,"Policy Holder","Sedan","0",700,"External","no change","All Perils"
"11634","Urban","Male","Single",27,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14626","Urban","Male","Married",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5478","Urban","Female","Married",51,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14628","Urban","Male","Married",37,"Third Party","Sedan","0",400,"External","no change","Collision"
"8403","Urban","Male","Single",30,"Third Party","Sedan","0",400,"External","no change","Collision"
"4523","Rural","Male","Married",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4194","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12788","Urban","Male","Married",72,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5738","Urban","Male","Married",35,"Third Party","Sedan","0",400,"External","no change","Collision"
"8922","Urban","Male","Single",38,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1241","Urban","Male","Single",34,"Policy Holder","Sport","0",700,"External","no change","Liability"
"15133","Urban","Male","Single",26,"Third Party","Sedan","0",400,"External","no change","Collision"
"10935","Urban","Male","Single",27,"Third Party","Sport","0",400,"External","no change","Liability"
"6963","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1872","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2292.1","Urban","Male","Married",25,"Policy Holder","Sport","0",400,"External","no change","Collision"
"9738","Urban","Male","Married",33,"Policy Holder","Sport","0",400,"External","1 year","Liability"
"884","Urban","Female","Single",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12192.1","Urban","Male","Married",52,"Third Party","Sport","0",400,"External","no change","Liability"
"2173","Urban","Male","Married",38,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3892","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14874","Urban","Male","Married",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2981","Urban","Male","Married",56,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14610","Urban","Female","Married",61,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8946","Rural","Male","Married",47,"Third Party","Sedan","0",400,"External","no change","All Perils"
"10368","Urban","Female","Married",46,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14071","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"10834","Urban","Male","Married",43,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6114","Urban","Male","Married",29,"Third Party","Sedan","0",400,"External","no change","All Perils"
"1513.1","Urban","Male","Single",34,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"8716","Urban","Male","Single",31,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"11074","Urban","Male","Married",57,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14137","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10672","Urban","Male","Married",37,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6148","Urban","Male","Single",66,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"5657","Urban","Male","Married",41,"Third Party","Sedan","0",400,"External","no change","All Perils"
"3601","Rural","Male","Single",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11927.1","Urban","Male","Married",31,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2813","Urban","Female","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1592","Urban","Male","Single",33,"Third Party","Sedan","0",400,"External","no change","Collision"
"6040","Urban","Female","Married",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8595","Rural","Male","Married",44,"Third Party","Sedan","0",400,"External","no change","All Perils"
"15102.1","Urban","Male","Married",48,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4548","Urban","Male","Married",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13086","Urban","Female","Married",29,"Third Party","Sedan","0",400,"External","no change","Collision"
"2593","Urban","Female","Married",54,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13957","Urban","Male","Married",64,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5163","Urban","Male","Single",38,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11407","Urban","Male","Married",46,"Third Party","Sedan","0",400,"External","no change","Collision"
"15176","Urban","Male","Married",48,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8269","Urban","Male","Married",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"953","Urban","Male","Single",24,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13823","Rural","Male","Married",62,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7980","Rural","Male","Married",55,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2367","Rural","Male","Single",44,"Policy Holder","Sport","0",400,"External","1 year","Liability"
"1048","Urban","Male","Married",55,"Third Party","Sport","0",400,"External","no change","Collision"
"9450","Urban","Male","Married",65,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11353","Urban","Male","Single",22,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11633","Urban","Male","Married",42,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12935","Urban","Male","Single",31,"Third Party","Sedan","0",400,"External","no change","Collision"
"11952","Urban","Male","Single",28,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12617","Urban","Male","Married",44,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5792","Urban","Male","Married",43,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11877","Urban","Male","Married",52,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1034","Urban","Male","Married",59,"Third Party","Sedan","0",400,"External","no change","All Perils"
"781","Urban","Female","Married",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14574","Urban","Male","Married",50,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7855","Urban","Male","Married",56,"Third Party","Sport","0",500,"External","2 to 3 years","Liability"
"12302","Urban","Female","Married",46,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13249","Rural","Male","Single",27,"Third Party","Sedan","0",400,"External","no change","Collision"
"4820.1","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3582","Urban","Male","Married",45,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11343","Urban","Male","Single",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"13059","Urban","Male","Single",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11657","Urban","Male","Married",55,"Policy Holder","Sedan","0",700,"External","no change","All Perils"
"12280","Urban","Female","Single",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10153","Urban","Male","Married",74,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1070","Urban","Male","Married",28,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2816","Urban","Female","Single",28,"Third Party","Sport","0",400,"External","no change","Collision"
"14886","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9514","Urban","Male","Married",26,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"14065","Urban","Male","Married",56,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3424","Urban","Female","Married",62,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"13970","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"7929.1","Urban","Male","Married",40,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9227","Urban","Male","Married",56,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1636","Urban","Male","Married",27,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6322","Urban","Male","Married",37,"Third Party","Sport","0",400,"External","4 to 8 years","Collision"
"14701","Rural","Female","Married",54,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"724","Urban","Male","Single",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1043","Rural","Male","Married",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5421","Urban","Female","Single",48,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8041","Urban","Male","Single",22,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"15365","Urban","Male","Married",53,"Third Party","Sedan","0",400,"External","no change","All Perils"
"11159","Rural","Male","Married",50,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6133","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"5314","Urban","Male","Married",31,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"6519","Urban","Male","Single",63,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4443","Urban","Male","Married",50,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3958","Urban","Male","Married",28,"Third Party","Sport","0",400,"External","no change","Liability"
"2672","Urban","Male","Married",40,"Third Party","Sport","0",400,"External","no change","Liability"
"14240","Urban","Male","Married",40,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14041","Urban","Male","Married",51,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"276","Urban","Male","Single",39,"Policy Holder","Sport","0",400,"External","no change","Collision"
"5433","Urban","Male","Single",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12026","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"15285","Urban","Male","Married",50,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8110","Urban","Male","Married",36,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"5805","Urban","Female","Divorced",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"20","Urban","Male","Married",30,"Third Party","Sport","0",400,"External","no change","Liability"
"13336","Urban","Male","Married",60,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"10992","Urban","Male","Single",34,"Third Party","Sedan","0",400,"External","no change","Collision"
"4018.1","Urban","Male","Married",53,"Third Party","Sedan","0",400,"External","no change","All Perils"
"10148","Urban","Male","Married",38,"Third Party","Sedan","0",400,"External","no change","All Perils"
"15274","Urban","Male","Married",54,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11383","Urban","Male","Married",68,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"11440","Urban","Female","Married",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13177","Urban","Male","Single",31,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14283","Rural","Male","Single",31,"Third Party","Sport","0",400,"External","no change","Liability"
"798","Urban","Male","Single",28,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6337","Urban","Male","Married",52,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"7254.1","Urban","Male","Single",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"15021","Urban","Male","Married",37,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4759","Urban","Male","Married",52,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"10265","Urban","Male","Married",58,"Third Party","Sedan","0",400,"External","no change","All Perils"
"7767","Rural","Male","Married",51,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"12980","Rural","Male","Married",55,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"15288","Urban","Male","Married",55,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"7770","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"10308","Urban","Female","Single",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"10636","Urban","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12726","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"10982","Urban","Male","Married",65,"Third Party","Sedan","0",400,"External","no change","Collision"
"8147","Urban","Male","Divorced",50,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6423","Urban","Female","Divorced",41,"Third Party","Sedan","0",400,"External","no change","Collision"
"2217","Urban","Male","Married",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14611","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"15250","Urban","Male","Married",60,"Third Party","Sedan","0",500,"External","2 to 3 years","All Perils"
